name,profits,marketValue,revenue,industry
CNO Financial Group,270.7,3486,3909,Life & Health Insurance
CNOOC,3237.3,58022,27288,Oil & Gas Operations
CNP Assurances,1253.1,11688,46838,Diversified Insurance
CP All,399.2,11778,11432,Food Retail
CR Bard,131.4,15174,3416,Medical Equipment & Supplies
CRH,802.9,23420,26209,Construction Materials
CRRC,1877.4,38772,38178,Heavy Equipment
CSL,1405.8,37020,5780,Biotechs
CSN,376.6,5170,4590,Iron & Steel
CST Brands,150,2902,11020,Specialty Stores
CSX,1882,26315,11402,Railroads
CVS Health,5202,110802,153290,Drug Retail
Cablevision Systems,175.4,9304,6510,Broadcasting & Cable
Caesars Entertainment,5920,1073,4654,Casinos & Gaming
CaixaBank,902.7,18788,12515,Regional Banks
Calpine,235,5533,6063,Electric Utilities
Caltex Australia,391.3,6652,14777,Oil & Gas Operations
Campbell Soup,709,18747,7997,Food Processing
Canadian Imperial Bank,2802.7,31238,13294,Regional Banks
Canadian National Railway,2765.4,51559,9857,Railroads
Canadian Natural Resources,-497.9,33475,9663,Oil & Gas Operations
Canadian Pacific Railway,1198.2,22787,5060,Railroads
Canadian Tire,515.4,7925,9598,Specialty Stores
Canadian Utilities,281.4,7407,2551,Electric Utilities
Canara Bank,468.5,1724,7954,Regional Banks
Canon,1818.9,40413,31390,Business Products & Supplies
Capgemini,1246.4,15201,13213,Computer Services
Capita,80.5,9731,7141,Business & Personal Services
CapitaLand,810,10067,3507,Real Estate
Capital One Financial,4030,39221,25015,Consumer Financial Services
CarMax,623.4,10316,15150,Specialty Stores
Cardinal Health,1369,28622,112422,Pharmaceuticals
Carlsberg,-435,14691,9716,Beverages
Carnival,1850,37769,15835,Hotels & Motels
Carrefour,1086.7,21875,87446,Food Retail
Catcher Technology,791.1,5568,2595,Aluminum
Caterpillar,2102,45607,47011,Heavy Equipment
Cathay Financial,1811.2,14057,14400,Life & Health Insurance
Cathay Pacific Airways,773.9,6745,13201,Airline
Cattolica Assicurazioni,67.6,1189,6244,Diversified Insurance
Celanese,325,10657,5628,Diversified Chemicals
Celgene,1602,86390,9073,Biotechs
Cemex,75.6,10202,14388,Construction Materials
Cemig,745.8,2649,6374,Electric Utilities
Cencosud,354.1,7981,16875,Specialty Stores
Cenovus Energy,483,12673,10211,Oil & Gas Operations
Centene,355,10597,22760,Managed Health Care
CenterPoint Energy,-692,8961,7433,Electric Utilities
Central Bank of India,108.9,2048,4641,Regional Banks
Central Japan Railway,2509,38672,14303,Railroads
Centrica,-1141.3,16968,42734,Natural Gas Utilities
Century Tokyo Leasing,336.9,3810,7489,Rental & Leasing
CenturyLink,878,17144,17900,Telecommunications services
Cerner,539.4,19770,4425,Healthcare Services
Chang Hwa Bank,366.7,4424,1362,Regional Banks
Changjiang Securities,555.8,7034,1987,Oil & Gas Operations
Charles Schwab,1557,39272,6680,Investment Services
Charoen Pokphand Foods,322.7,5635,12294,Food Processing
Charter Communications,-271,22252,9754,Broadcasting & Cable
Check Point Software,692.4,14998,1662,Software & Programming
Cheil Industries,2426.9,22939,11791,Apparel/Accessories
Cheniere Energy,-975.1,8812,271,
Chesapeake Energy,-14684,4458,10603,Oil & Gas Operations
Cheung Kong Property Holdings,2207.4,25884,7463,Real Estate
Chevron,4587,192258,129866,Oil & Gas Operations
Chiba Bank,449.8,4830,1708,Regional Banks
Chicago Bridge & Iron,-504.4,4306,12930,Construction Services
China Agri-Industries,-42.9,1882,10648,Diversified Chemicals
China Cinda Asset Management,2235.2,12247,11474,
China Citic Bank,6559.7,40424,41187,Regional Banks
China Coal Energy,-400.3,9241,9198,Diversified Metals & Mining
China Communications Construction,2468.3,26498,62629,Construction Services
China Communications Services,371.9,3322,12876,Telecommunications services
China Construction Bank,36393.4,162774,146816,Regional Banks
China Cosco Holdings,50.4,8070,9143,Other Transportation
China Development Financial,268.6,3859,1191,Major Banks
China Eastern Airlines,730,10929,14905,Airline
China Energy Engineering,673.9,5304,32727,Construction Services
China Everbright Bank,4706.4,25667,27061,Regional Banks
China Fortune Land Development,763.8,10713,5668,
China Galaxy Securities,1567.7,9320,5340,
China Gezhouba,426.9,4220,12786,Construction Services
China Grand Automotive Services,149,9657,7030,Investment Services
China Great Wall Computer,-8.6,2489,11635,Computer Hardware
China Hongqiao Group,583.7,5307,7022,Aluminum
China Huarong Asset Management,2304.2,14254,11309,Major Banks
China International Marine,316.1,5512,9283,Heavy Equipment
China Life Insurance,5573.1,55652,81487,Life & Health Insurance
China Life Insurance (Taiwan),288.8,2533,5854,Life & Health Insurance
China Longyuan Power,460.3,5885,3129,Diversified Utilities
China Mengniu Dairy,377.3,6851,7806,Food Processing
China Merchants Bank,9202.5,66759,48189,Regional Banks
China Merchants Holdings,620.2,7790,1062,Other Transportation
China Merchants Securities,1735.7,15502,3960,Investment Services
China Merchants Shekou Industrial Zone Holdings,772,17535,7006,Real Estate
China Minsheng Banking,7355.3,49268,42359,Regional Banks
China Mobile,17124.5,240997,107758,Telecommunications services
China National Building,163.2,2903,15956,Construction Materials
China National Chemical,423.2,4513,9146,Construction Services
